id,name,state,lat,lng,population,population_growth_pct,median_weekly_household_income,median_weekly_rent,overseas_born_pct,family_households_pct,culture_1_country,culture_1_pct,culture_2_country,culture_2_pct,culture_3_country,culture_3_pct,culture_4_country,culture_4_pct,train_pct,tram_pct,bus_pct,car_pct,bicycle_pct,walked_pct,worked_from_home_pct,primary_school_drive_time,hospital_drive_time,gp_clinic_drive_time,childcare_drive_time,cluster_id,cluster_label,similar_suburbs,census_year
vic-mont-albert,Mont Albert,VIC,-37.817866827499955,145.10799986666964,4948,2.2,2324,451,35.2,71.9,Australia,64.8,China,10.2,England,2.8,India,2.0,3.4,0.9,0.3,35.1,0.2,2.0,41.7,2–4 min,2–4 min,0–2 min,0–2 min,5,Higher-income + Higher-rent,Bentleigh; Camberwell; Sandringham,2021
vic-mont-albert-north,Mont Albert North,VIC,-37.80247786749996,145.11097808513992,5609,1.9,2184,500,36.5,75.9,Australia,63.5,China,11.0,Malaysia,3.4,England,2.2,1.2,0.1,1.2,40.6,0.6,1.1,38.1,2–4 min,4–10 min,2–4 min,0–2 min,5,Higher-income + Higher-rent,Bentleigh East; Deepdene; Bentleigh,2021
vic-montmorency,Montmorency,VIC,-37.72063024199997,145.12352180024587,9250,3.2,2076,420,19.0,75.3,Australia,81.0,England,3.6,New Zealand,1.2,China,0.9,1.9,0.0,0.4,44.0,0.4,1.3,34.2,2–4 min,10–30 min,2–4 min,0–2 min,2,Predominantly Australian-born + Family-oriented,Kalorama; Mount Dandenong; Greensborough,2021
vic-montrose,Montrose,VIC,-37.817804284999966,145.3409816782705,6900,2.1,2088,365,17.1,79.3,Australia,82.9,England,5.2,Netherlands,1.4,New Zealand,1.0,0.5,0.0,0.2,56.0,0.3,0.6,22.8,2–4 min,10–30 min,2–4 min,0–2 min,2,Predominantly Australian-born + Family-oriented,Hoddles Creek; Mount Evelyn; The Basin,2021
vic-moonee-ponds,Moonee Ponds,VIC,-37.765295503999965,144.9198769517621,16224,13.9,2111,400,31.4,60.2,Australia,68.6,Italy,3.6,India,2.5,England,2.3,4.0,2.1,0.4,32.4,1.4,2.9,38.6,2–4 min,4–10 min,0–2 min,0–2 min,6,Share / non-family households + More affordable incomes,Williamstown North; Heidelberg; Thornbury,2021
vic-moorabbin,Moorabbin,VIC,-37.94105405299996,145.05812324755163,6287,6.6,2031,431,38.0,70.2,Australia,62.0,India,4.1,China,3.4,England,3.2,2.3,0.0,0.8,43.1,0.5,2.0,34.5,2–4 min,2–4 min,2–4 min,0–2 min,6,Share / non-family households + More affordable incomes,Blackburn; Mitcham; Hughesdale,2021
vic-moorabbin-airport,Moorabbin Airport,VIC,-37.97797134299995,145.10102010415125,26,,,486,88.5,,China,76.9,Australia,11.5,,,,,0.0,0.0,0.0,200.0,0.0,0.0,0.0,2–4 min,4–10 min,2–4 min,2–4 min,,,,2021
vic-moorooduc,Moorooduc,VIC,-38.245523165499975,145.11616694045313,1004,-8.6,2256,351,17.7,81.7,Australia,82.3,England,4.4,New Zealand,1.8,Italy,0.9,0.0,0.0,0.0,51.2,1.0,3.8,25.2,4–10 min,4–10 min,4–10 min,2–4 min,2,Predominantly Australian-born + Family-oriented,Silvan; St Andrews; Humevale,2021
vic-mooroolbark,Mooroolbark,VIC,-37.78057818099995,145.32486181562098,23059,5.0,1994,400,24.4,78.7,Australia,75.6,England,3.8,Myanmar,3.3,India,1.6,1.0,0.0,0.2,56.2,0.2,0.6,22.2,2–4 min,10–30 min,2–4 min,0–2 min,2,Predominantly Australian-born + Family-oriented,Keilor; Skye; Watsonia North,2021
vic-mordialloc,Mordialloc,VIC,-37.998376966999956,145.09868957976323,8886,8.8,2037,400,31.4,67.2,Australia,68.6,England,5.9,China,2.1,New Zealand,1.9,2.4,0.0,0.3,45.3,0.7,1.6,33.3,2–4 min,4–10 min,2–4 min,0–2 min,6,Share / non-family households + More affordable incomes,Pascoe Vale; Hampton East; Blackburn,2021
